month,year,kraj,general_thefts,break_in_thefts
1,2009,HKK,271,174
2,2009,HKK,245,164
3,2009,HKK,284,207
4,2009,HKK,271,162
5,2009,HKK,268,191
6,2009,HKK,279,213
7,2009,HKK,269,162
8,2009,HKK,323,188
9,2009,HKK,250,195
10,2009,HKK,246,217
11,2009,HKK,277,210
12,2009,HKK,230,216
1,2009,JHC,275,181
2,2009,JHC,253,183
3,2009,JHC,309,206
4,2009,JHC,343,204
5,2009,JHC,369,236
6,2009,JHC,374,214
7,2009,JHC,380,227
8,2009,JHC,388,209
9,2009,JHC,376,220
10,2009,JHC,364,211
11,2009,JHC,376,243
12,2009,JHC,273,197
1,2009,JHM,909,286
2,2009,JHM,876,323
3,2009,JHM,905,396
4,2009,JHM,986,389
5,2009,JHM,998,411
6,2009,JHM,1000,444
7,2009,JHM,1041,405
8,2009,JHM,1045,442
9,2009,JHM,929,370
10,2009,JHM,1080,331
11,2009,JHM,1042,391
12,2009,JHM,964,355
1,2009,KVK,198,96
2,2009,KVK,160,107
3,2009,KVK,173,92
4,2009,KVK,182,105
5,2009,KVK,168,125
6,2009,KVK,203,108
7,2009,KVK,226,132
8,2009,KVK,234,120
9,2009,KVK,237,122
10,2009,KVK,261,107
11,2009,KVK,277,97
12,2009,KVK,209,107
1,2009,LBK,343,130
2,2009,LBK,338,148
3,2009,LBK,400,180
4,2009,LBK,419,196
5,2009,LBK,429,230
6,2009,LBK,456,227
7,2009,LBK,503,192
8,2009,LBK,508,229
9,2009,LBK,422,182
10,2009,LBK,378,189
11,2009,LBK,399,198
12,2009,LBK,328,189
1,2009,MSK,1440,572
2,2009,MSK,1239,585
3,2009,MSK,1459,684
4,2009,MSK,1410,602
5,2009,MSK,1626,641
6,2009,MSK,1673,638
7,2009,MSK,1589,574
8,2009,MSK,1545,528
9,2009,MSK,1495,551
10,2009,MSK,1505,537
11,2009,MSK,1441,556
12,2009,MSK,1258,528
1,2009,OLK,366,162
2,2009,OLK,333,167
3,2009,OLK,384,202
4,2009,OLK,368,219
5,2009,OLK,424,192
6,2009,OLK,431,200
7,2009,OLK,411,153
8,2009,OLK,490,203
9,2009,OLK,457,162
10,2009,OLK,438,168
11,2009,OLK,327,175
12,2009,OLK,346,150
1,2009,PAK,189,124
2,2009,PAK,227,133
3,2009,PAK,235,158
4,2009,PAK,219,170
5,2009,PAK,241,159
6,2009,PAK,248,162
7,2009,PAK,299,156
8,2009,PAK,283,167
9,2009,PAK,265,161
10,2009,PAK,279,132
11,2009,PAK,194,116
12,2009,PAK,206,138
1,2009,PHA,4237,775
2,2009,PHA,3676,739
3,2009,PHA,4599,867
4,2009,PHA,4276,859
5,2009,PHA,4372,905
6,2009,PHA,4470,905
7,2009,PHA,4277,936
8,2009,PHA,4277,939
9,2009,PHA,4483,896
10,2009,PHA,4476,839
11,2009,PHA,3896,924
12,2009,PHA,3507,880
1,2009,PLK,469,231
2,2009,PLK,393,158
3,2009,PLK,482,224
4,2009,PLK,436,217
5,2009,PLK,419,238
6,2009,PLK,395,239
7,2009,PLK,449,209
8,2009,PLK,420,221
9,2009,PLK,435,259
10,2009,PLK,500,249
11,2009,PLK,494,223
12,2009,PLK,379,233
1,2009,STC,1140,716
2,2009,STC,1091,732
3,2009,STC,1395,926
4,2009,STC,1177,847
5,2009,STC,1309,840
6,2009,STC,1276,755
7,2009,STC,1289,645
8,2009,STC,1437,616
9,2009,STC,1291,730
10,2009,STC,1315,780
11,2009,STC,1374,708
12,2009,STC,1073,749
1,2009,ULK,816,372
2,2009,ULK,866,364
3,2009,ULK,825,436
4,2009,ULK,866,433
5,2009,ULK,980,480
6,2009,ULK,925,395
7,2009,ULK,847,433
8,2009,ULK,906,421
9,2009,ULK,856,418
10,2009,ULK,777,455
11,2009,ULK,815,467
12,2009,ULK,682,413
1,2009,VYS,168,169
2,2009,VYS,147,153
3,2009,VYS,211,171
4,2009,VYS,221,166
5,2009,VYS,238,145
6,2009,VYS,260,139
7,2009,VYS,267,134
8,2009,VYS,283,150
9,2009,VYS,197,218
10,2009,VYS,250,165
11,2009,VYS,213,168
12,2009,VYS,131,193
1,2009,ZLK,156,142
2,2009,ZLK,209,145
3,2009,ZLK,228,145
4,2009,ZLK,238,134
5,2009,ZLK,245,138
6,2009,ZLK,256,127
7,2009,ZLK,322,125
8,2009,ZLK,254,149
9,2009,ZLK,242,143
10,2009,ZLK,226,126
11,2009,ZLK,210,153
12,2009,ZLK,193,148
1,2010,HKK,1129,604
2,2010,HKK,1141,547
3,2010,HKK,1367,662
4,2010,HKK,1371,690
5,2010,HKK,1437,718
6,2010,HKK,1423,625
7,2010,HKK,1526,597
8,2010,HKK,1547,609
9,2010,HKK,1520,596
10,2010,HKK,1483,658
11,2010,HKK,1427,690
12,2010,HKK,1096,582
1,2010,JHC,298,184
2,2010,JHC,296,176
3,2010,JHC,364,295
4,2010,JHC,368,301
5,2010,JHC,470,274
6,2010,JHC,454,293
7,2010,JHC,464,256
8,2010,JHC,461,274
9,2010,JHC,377,284
10,2010,JHC,487,298
11,2010,JHC,361,237
12,2010,JHC,319,223
1,2010,JHM,147,145
2,2010,JHM,173,157
3,2010,JHM,199,209
4,2010,JHM,227,221
5,2010,JHM,248,210
6,2010,JHM,223,199
7,2010,JHM,237,149
8,2010,JHM,243,207
9,2010,JHM,237,119
10,2010,JHM,218,179
11,2010,JHM,202,154
12,2010,JHM,112,114
1,2010,KVK,709,449
2,2010,KVK,734,473
3,2010,KVK,899,573
4,2010,KVK,805,553
5,2010,KVK,877,610
6,2010,KVK,917,542
7,2010,KVK,904,559
8,2010,KVK,961,611
9,2010,KVK,862,559
10,2010,KVK,954,546
11,2010,KVK,858,526
12,2010,KVK,674,407
1,2010,LBK,989,332
2,2010,LBK,885,369
3,2010,LBK,1096,437
4,2010,LBK,956,456
5,2010,LBK,956,442
6,2010,LBK,944,419
7,2010,LBK,912,354
8,2010,LBK,1005,374
9,2010,LBK,1018,393
10,2010,LBK,982,384
11,2010,LBK,1041,405
12,2010,LBK,891,367
1,2010,MSK,96,44
2,2010,MSK,547,388
3,2010,MSK,332,266
4,2010,MSK,401,215
5,2010,MSK,411,259
6,2010,MSK,425,228
7,2010,MSK,422,202
8,2010,MSK,421,265
9,2010,MSK,375,208
10,2010,MSK,358,263
11,2010,MSK,351,231
12,2010,MSK,255,188
1,2010,OLK,238,139
2,2010,OLK,170,153
3,2010,OLK,211,220
4,2010,OLK,231,158
5,2010,OLK,245,151
6,2010,OLK,277,145
7,2010,OLK,322,128
8,2010,OLK,296,164
9,2010,OLK,275,138
10,2010,OLK,256,117
11,2010,OLK,191,125
12,2010,OLK,148,101
1,2010,PAK,251,177
2,2010,PAK,326,179
3,2010,PAK,373,232
4,2010,PAK,373,208
5,2010,PAK,348,221
6,2010,PAK,351,206
7,2010,PAK,372,187
8,2010,PAK,405,206
9,2010,PAK,441,227
10,2010,PAK,390,256
11,2010,PAK,406,245
12,2010,PAK,249,205
1,2010,PHA,3134,808
2,2010,PHA,3439,798
3,2010,PHA,3975,926
4,2010,PHA,3735,1107
5,2010,PHA,3730,931
6,2010,PHA,3457,926
7,2010,PHA,3341,924
8,2010,PHA,3618,933
9,2010,PHA,3625,816
10,2010,PHA,3610,927
11,2010,PHA,3442,907
12,2010,PHA,2945,756
1,2010,PLK,311,260
2,2010,PLK,388,224
3,2010,PLK,475,245
4,2010,PLK,482,226
5,2010,PLK,412,213
6,2010,PLK,400,225
7,2010,PLK,464,232
8,2010,PLK,546,232
9,2010,PLK,457,261
10,2010,PLK,479,290
11,2010,PLK,453,249
12,2010,PLK,327,235
1,2010,STC,916,644
2,2010,STC,993,688
3,2010,STC,1175,883
4,2010,STC,1136,741
5,2010,STC,1293,886
6,2010,STC,1096,738
7,2010,STC,1232,677
8,2010,STC,1302,709
9,2010,STC,1359,693
10,2010,STC,1309,775
11,2010,STC,1236,696
12,2010,STC,820,559
1,2010,ULK,229,202
2,2010,ULK,229,170
3,2010,ULK,252,197
4,2010,ULK,264,203
5,2010,ULK,282,202
6,2010,ULK,288,216
7,2010,ULK,332,207
8,2010,ULK,402,210
9,2010,ULK,325,179
10,2010,ULK,269,207
11,2010,ULK,272,175
12,2010,ULK,233,159
1,2010,VYS,174,113
2,2010,VYS,155,116
3,2010,VYS,181,173
4,2010,VYS,232,176
5,2010,VYS,210,142
6,2010,VYS,232,140
7,2010,VYS,254,109
8,2010,VYS,219,117
9,2010,VYS,253,124
10,2010,VYS,243,194
11,2010,VYS,232,162
12,2010,VYS,194,112
1,2010,ZLK,182,141
2,2010,ZLK,179,108
3,2010,ZLK,175,115
4,2010,ZLK,178,131
5,2010,ZLK,209,123
6,2010,ZLK,165,129
7,2010,ZLK,213,118
8,2010,ZLK,234,118
9,2010,ZLK,201,130
10,2010,ZLK,158,150
11,2010,ZLK,183,124
12,2010,ZLK,146,105
1,2011,HKK,1239,661
2,2011,HKK,1183,656
3,2011,HKK,1335,707
4,2011,HKK,1358,692
5,2011,HKK,1550,722
6,2011,HKK,1426,766
7,2011,HKK,1585,797
8,2011,HKK,1652,761
9,2011,HKK,1392,723
10,2011,HKK,1538,755
11,2011,HKK,1630,726
12,2011,HKK,1387,808
1,2011,JHC,405,291
2,2011,JHC,378,239
3,2011,JHC,441,235
4,2011,JHC,382,254
5,2011,JHC,409,226
6,2011,JHC,428,253
7,2011,JHC,390,246
8,2011,JHC,421,224
9,2011,JHC,357,230
10,2011,JHC,353,269
11,2011,JHC,299,235
12,2011,JHC,303,203
1,2011,JHM,167,112
2,2011,JHM,169,136
3,2011,JHM,210,135
4,2011,JHM,217,106
5,2011,JHM,230,136
6,2011,JHM,230,142
7,2011,JHM,180,142
8,2011,JHM,175,147
9,2011,JHM,180,130
10,2011,JHM,188,125
11,2011,JHM,169,161
12,2011,JHM,131,152
1,2011,KVK,935,620
2,2011,KVK,829,559
3,2011,KVK,816,659
4,2011,KVK,875,565
5,2011,KVK,1002,649
6,2011,KVK,849,628
7,2011,KVK,890,605
8,2011,KVK,881,577
9,2011,KVK,852,496
10,2011,KVK,818,491
11,2011,KVK,758,525
12,2011,KVK,620,483
1,2011,LBK,1008,462
2,2011,LBK,926,416
3,2011,LBK,1051,521
4,2011,LBK,974,541
5,2011,LBK,1032,417
6,2011,LBK,983,390
7,2011,LBK,921,427
8,2011,LBK,962,424
9,2011,LBK,947,350
10,2011,LBK,978,413
11,2011,LBK,767,416
12,2011,LBK,920,394
1,2011,MSK,330,211
2,2011,MSK,327,198
3,2011,MSK,342,221
4,2011,MSK,316,223
5,2011,MSK,348,207
6,2011,MSK,428,206
7,2011,MSK,495,251
8,2011,MSK,394,221
9,2011,MSK,349,205
10,2011,MSK,308,234
11,2011,MSK,354,237
12,2011,MSK,381,214
1,2011,OLK,224,145
2,2011,OLK,215,145
3,2011,OLK,245,137
4,2011,OLK,235,132
5,2011,OLK,203,142
6,2011,OLK,249,127
7,2011,OLK,254,152
8,2011,OLK,246,156
9,2011,OLK,252,134
10,2011,OLK,237,126
11,2011,OLK,236,123
12,2011,OLK,207,142
1,2011,PAK,383,282
2,2011,PAK,366,266
3,2011,PAK,399,287
4,2011,PAK,388,228
5,2011,PAK,375,189
6,2011,PAK,312,204
7,2011,PAK,397,231
8,2011,PAK,445,184
9,2011,PAK,377,182
10,2011,PAK,403,233
11,2011,PAK,404,240
12,2011,PAK,359,232
1,2011,PHA,3150,928
2,2011,PHA,3059,823
3,2011,PHA,3448,944
4,2011,PHA,3462,762
5,2011,PHA,3555,765
6,2011,PHA,3465,826
7,2011,PHA,3256,862
8,2011,PHA,3423,898
9,2011,PHA,3727,896
10,2011,PHA,3447,916
11,2011,PHA,3410,932
12,2011,PHA,3490,833
1,2011,PLK,391,262
2,2011,PLK,366,253
3,2011,PLK,466,246
4,2011,PLK,422,249
5,2011,PLK,449,256
6,2011,PLK,432,218
7,2011,PLK,434,213
8,2011,PLK,432,210
9,2011,PLK,391,238
10,2011,PLK,359,295
11,2011,PLK,297,278
12,2011,PLK,421,316
1,2011,STC,1022,712
2,2011,STC,949,678
3,2011,STC,1086,738
4,2011,STC,1034,669
5,2011,STC,1169,704
6,2011,STC,1100,689
7,2011,STC,1109,724
8,2011,STC,1240,686
9,2011,STC,1104,690
10,2011,STC,1105,728
11,2011,STC,1067,737
12,2011,STC,1082,745
1,2011,ULK,282,186
2,2011,ULK,252,199
3,2011,ULK,264,244
4,2011,ULK,252,202
5,2011,ULK,287,168
6,2011,ULK,304,199
7,2011,ULK,335,205
8,2011,ULK,310,157
9,2011,ULK,276,147
10,2011,ULK,275,179
11,2011,ULK,252,186
12,2011,ULK,273,159
1,2011,VYS,199,132
2,2011,VYS,174,178
3,2011,VYS,203,175
4,2011,VYS,198,145
5,2011,VYS,210,112
6,2011,VYS,214,117
7,2011,VYS,233,114
8,2011,VYS,246,137
9,2011,VYS,186,125
10,2011,VYS,218,110
11,2011,VYS,201,130
12,2011,VYS,164,136
1,2011,ZLK,184,100
2,2011,ZLK,142,131
3,2011,ZLK,167,124
4,2011,ZLK,171,120
5,2011,ZLK,178,150
6,2011,ZLK,172,114
7,2011,ZLK,209,128
8,2011,ZLK,227,126
9,2011,ZLK,180,127
10,2011,ZLK,175,137
11,2011,ZLK,215,166
12,2011,ZLK,163,110
1,2012,HKK,1553,767
3,2012,HKK,2447,1415
4,2012,HKK,1211,685
5,2012,HKK,1449,627
6,2012,HKK,1445,650
7,2012,HKK,1330,632
8,2012,HKK,1397,664
9,2012,HKK,1377,683
10,2012,HKK,1398,732
11,2012,HKK,1449,694
12,2012,HKK,1091,699
1,2012,JHC,357,239
3,2012,JHC,676,453
4,2012,JHC,360,254
5,2012,JHC,364,224
6,2012,JHC,341,204
7,2012,JHC,385,198
8,2012,JHC,413,204
9,2012,JHC,303,158
10,2012,JHC,369,228
11,2012,JHC,302,219
12,2012,JHC,254,212
1,2012,JHM,209,145
3,2012,JHM,385,292
4,2012,JHM,194,141
5,2012,JHM,204,169
6,2012,JHM,235,145
7,2012,JHM,220,159
8,2012,JHM,241,155
9,2012,JHM,175,137
10,2012,JHM,183,139
11,2012,JHM,175,122
12,2012,JHM,127,140
1,2012,KVK,783,525
3,2012,KVK,1420,977
4,2012,KVK,733,491
5,2012,KVK,752,463
6,2012,KVK,750,539
7,2012,KVK,810,494
8,2012,KVK,792,487
9,2012,KVK,791,491
10,2012,KVK,819,524
11,2012,KVK,679,455
12,2012,KVK,651,467
1,2012,LBK,907,454
3,2012,LBK,1869,913
4,2012,LBK,957,447
5,2012,LBK,1034,437
6,2012,LBK,922,477
7,2012,LBK,946,404
8,2012,LBK,1068,440
9,2012,LBK,887,422
10,2012,LBK,1034,437
11,2012,LBK,985,406
12,2012,LBK,820,386
1,2012,MSK,350,200
3,2012,MSK,671,388
4,2012,MSK,334,226
5,2012,MSK,406,231
6,2012,MSK,409,279
7,2012,MSK,462,224
8,2012,MSK,413,179
9,2012,MSK,317,207
10,2012,MSK,394,214
11,2012,MSK,341,213
12,2012,MSK,330,156
1,2012,OLK,268,159
3,2012,OLK,461,269
4,2012,OLK,230,147
5,2012,OLK,274,134
6,2012,OLK,262,124
7,2012,OLK,237,133
8,2012,OLK,285,135
9,2012,OLK,209,147
10,2012,OLK,246,129
11,2012,OLK,242,156
12,2012,OLK,180,128
1,2012,PAK,462,218
3,2012,PAK,788,455
4,2012,PAK,372,222
5,2012,PAK,383,247
6,2012,PAK,374,176
7,2012,PAK,362,200
8,2012,PAK,445,201
9,2012,PAK,355,194
10,2012,PAK,446,268
11,2012,PAK,367,239
12,2012,PAK,316,217
1,2012,PHA,3489,923
3,2012,PHA,6247,1511
4,2012,PHA,3227,844
5,2012,PHA,3409,811
6,2012,PHA,3385,677
7,2012,PHA,3411,729
8,2012,PHA,3332,746
9,2012,PHA,3179,759
10,2012,PHA,3475,762
11,2012,PHA,3315,791
12,2012,PHA,3250,693
1,2012,PLK,381,215
3,2012,PLK,763,460
4,2012,PLK,339,200
5,2012,PLK,337,269
6,2012,PLK,324,243
7,2012,PLK,335,214
8,2012,PLK,327,242
9,2012,PLK,334,205
10,2012,PLK,367,234
11,2012,PLK,335,256
12,2012,PLK,319,312
1,2012,STC,1076,726
3,2012,STC,2106,1331
4,2012,STC,998,655
5,2012,STC,1145,628
6,2012,STC,1056,681
7,2012,STC,1077,607
8,2012,STC,1139,642
9,2012,STC,1007,605
10,2012,STC,1081,690
11,2012,STC,1031,730
12,2012,STC,740,600
1,2012,ULK,308,165
3,2012,ULK,515,313
4,2012,ULK,270,149
5,2012,ULK,287,182
6,2012,ULK,328,157
7,2012,ULK,303,154
8,2012,ULK,382,145
9,2012,ULK,244,157
10,2012,ULK,304,201
11,2012,ULK,321,151
12,2012,ULK,238,154
1,2012,VYS,191,129
3,2012,VYS,294,280
4,2012,VYS,213,136
5,2012,VYS,187,130
6,2012,VYS,179,144
7,2012,VYS,203,140
8,2012,VYS,215,135
9,2012,VYS,212,135
10,2012,VYS,198,130
11,2012,VYS,199,185
12,2012,VYS,164,148
1,2012,ZLK,219,102
3,2012,ZLK,364,240
4,2012,ZLK,169,121
5,2012,ZLK,172,115
6,2012,ZLK,190,118
7,2012,ZLK,204,109
8,2012,ZLK,207,96
9,2012,ZLK,163,125
10,2012,ZLK,194,121
11,2012,ZLK,231,142
12,2012,ZLK,144,118
1,2013,HKK,1254,792
2,2013,HKK,1428,809
3,2013,HKK,1374,924
4,2013,HKK,1258,899
5,2013,HKK,1482,833
6,2013,HKK,1406,760
7,2013,HKK,1503,684
8,2013,HKK,1485,668
9,2013,HKK,1430,742
10,2013,HKK,1339,751
11,2013,HKK,1273,643
12,2013,HKK,1083,642
1,2013,JHC,302,261
2,2013,JHC,296,230
3,2013,JHC,308,227
4,2013,JHC,339,283
5,2013,JHC,405,273
6,2013,JHC,355,223
7,2013,JHC,436,193
8,2013,JHC,390,199
9,2013,JHC,340,252
10,2013,JHC,287,211
11,2013,JHC,310,234
12,2013,JHC,297,239
1,2013,JHM,182,141
2,2013,JHM,182,152
3,2013,JHM,219,146
4,2013,JHM,175,158
5,2013,JHM,184,136
6,2013,JHM,227,140
7,2013,JHM,232,154
8,2013,JHM,205,141
9,2013,JHM,219,131
10,2013,JHM,196,119
11,2013,JHM,147,116
12,2013,JHM,181,90
1,2013,KVK,812,594
2,2013,KVK,771,611
3,2013,KVK,869,584
4,2013,KVK,781,584
5,2013,KVK,809,620
6,2013,KVK,713,577
7,2013,KVK,874,557
8,2013,KVK,962,644
9,2013,KVK,845,590
10,2013,KVK,770,548
11,2013,KVK,764,452
12,2013,KVK,642,449
1,2013,LBK,921,460
2,2013,LBK,945,482
3,2013,LBK,1044,523
4,2013,LBK,998,501
5,2013,LBK,982,413
6,2013,LBK,895,382
7,2013,LBK,971,387
8,2013,LBK,911,420
9,2013,LBK,957,361
10,2013,LBK,885,385
11,2013,LBK,728,443
12,2013,LBK,694,403
1,2013,MSK,356,225
2,2013,MSK,305,264
3,2013,MSK,416,258
4,2013,MSK,402,271
5,2013,MSK,409,250
6,2013,MSK,404,267
7,2013,MSK,434,224
8,2013,MSK,512,173
9,2013,MSK,416,251
10,2013,MSK,370,248
11,2013,MSK,373,242
12,2013,MSK,330,226
1,2013,OLK,199,170
2,2013,OLK,210,174
3,2013,OLK,231,161
4,2013,OLK,270,164
5,2013,OLK,271,166
6,2013,OLK,259,153
7,2013,OLK,250,137
8,2013,OLK,269,113
9,2013,OLK,230,105
10,2013,OLK,261,120
11,2013,OLK,229,124
12,2013,OLK,223,132
1,2013,PAK,359,262
2,2013,PAK,334,263
3,2013,PAK,379,287
4,2013,PAK,386,282
5,2013,PAK,371,249
6,2013,PAK,391,265
7,2013,PAK,430,294
8,2013,PAK,424,232
9,2013,PAK,366,186
10,2013,PAK,401,245
11,2013,PAK,368,220
12,2013,PAK,281,171
1,2013,PHA,3713,824
2,2013,PHA,3513,979
3,2013,PHA,3808,1046
4,2013,PHA,3624,978
5,2013,PHA,4012,1047
6,2013,PHA,3825,980
7,2013,PHA,3690,1017
8,2013,PHA,4044,985
9,2013,PHA,3924,962
10,2013,PHA,3645,945
11,2013,PHA,3598,937
12,2013,PHA,3625,978
1,2013,PLK,331,279
2,2013,PLK,368,263
3,2013,PLK,314,274
4,2013,PLK,319,311
5,2013,PLK,341,266
6,2013,PLK,369,251
7,2013,PLK,369,265
8,2013,PLK,398,244
9,2013,PLK,407,249
10,2013,PLK,404,242
11,2013,PLK,342,275
12,2013,PLK,336,338
1,2013,STC,953,784
2,2013,STC,1014,785
3,2013,STC,1104,871
4,2013,STC,1094,904
5,2013,STC,1123,769
6,2013,STC,1071,693
7,2013,STC,1234,636
8,2013,STC,1228,688
9,2013,STC,1200,660
10,2013,STC,1151,712
11,2013,STC,1024,714
12,2013,STC,946,663
1,2013,ULK,272,155
2,2013,ULK,264,196
3,2013,ULK,256,218
4,2013,ULK,227,169
5,2013,ULK,243,170
6,2013,ULK,286,144
7,2013,ULK,303,175
8,2013,ULK,274,166
9,2013,ULK,234,184
10,2013,ULK,233,151
11,2013,ULK,236,162
12,2013,ULK,234,175
1,2013,VYS,171,176
2,2013,VYS,154,147
3,2013,VYS,169,164
4,2013,VYS,182,188
5,2013,VYS,191,158
6,2013,VYS,192,144
7,2013,VYS,241,147
8,2013,VYS,249,153
9,2013,VYS,217,184
10,2013,VYS,208,154
11,2013,VYS,181,125
12,2013,VYS,160,133
1,2013,ZLK,205,141
2,2013,ZLK,191,155
3,2013,ZLK,207,161
4,2013,ZLK,192,125
5,2013,ZLK,185,122
6,2013,ZLK,169,114
7,2013,ZLK,225,124
8,2013,ZLK,178,130
9,2013,ZLK,232,127
10,2013,ZLK,226,93
11,2013,ZLK,196,111
12,2013,ZLK,138,89
1,2014,HKK,1202,637
2,2014,HKK,1136,621
3,2014,HKK,1335,662
4,2014,HKK,1169,625
5,2014,HKK,1230,534
6,2014,HKK,1102,530
